review,subtheme_1,subtheme_2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,cleaned_review,subthemes,subtheme_sentiments
Great price very fast service will use again.,value for money positive,,,,,,,,,,,,,,great price fast service use .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"I went through [REDACTED] to get 2 new front tyres. I thought it was hassle free and any easy way to book to get my tyres done. However, 2 days before I was due to go to my chosen garage I received a phone call from [REDACTED] to say that my chosen garage couldn’t now fit me in. They had to ring around 2 other local garages before they could find me another garage that would fit me in 2 days later than my original appointment. Although this may not have been [REDACTED] fault this was very stressful for me as my car had already failed the MOT hence why I booked my car in ASAP! The lady I spoke to on the phone who rang round other garages was very helpful but it was a very stressful situation to be in. I don’t think I will use this service again, I will just go through the garage themselves.",change of date negative,advisor/agent service positive,ease of booking negative,,,,,,,,,,,,"went [ redacted ] get 2 new front tyre . thought hassle free easy way book get tyre done . however , 2 day due go chosen garage received phone call [ redacted ] say chosen garage ’ fit . ring around 2 local garage could find another garage would fit 2 day later original appointment . although may [ redacted ] fault stressful car already failed mot hence booked car asap ! lady spoke phone rang round garage helpful stressful situation . ’ think use service , go garage .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
Simply excellent as always.,,,,,,,,,,,,,,,simply excellent always .,[],[]
Excellent pricing with first class products and easily accessible fitting at top workshop.,length of fitting positive,,,,,,,,,,,,,,excellent pricing first class product easily accessible fitting top workshop .,[],[]
"Great price and great service, garage was lovely with great coffee",value for money positive,garage service positive,,,,,,,,,,,,,"great price great service , garage lovely great coffee","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to arrange, wide choice and good value",value for money positive,ease of booking positive,,,,,,,,,,,,,"easy arrange , wide choice good value",[],[]
Easy to use with local fitting.,location positive,,,,,,,,,,,,,,easy use local fitting .,[],[]
"Such an easy service to use,you can choose from a range of tyres from budget to top brands cheaply. Then your booked to your local tyre fitters & you pre pay on the [REDACTED] website. Will defenately use again. Very happy.",value for money positive,location positive,,,,,,,,,,,,,"easy service use , choose range tyre budget top brand cheaply . booked local tyre fitter & pre pay [ redacted ] website . defenately use . happy .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
Great user friendly and competitively priced service,value for money positive,,,,,,,,,,,,,,great user friendly competitively priced service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Once again the service and value were great.,value for money positive,,,,,,,,,,,,,,service value great .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Simple to organise ...reasonably priced.,value for money positive,ease of booking positive,,,,,,,,,,,,,simple organise ... reasonably priced .,[],[]
Fantastic price for our new tyres. Hassle free from start to finish. Great experience and would highly recommend to anyone wanting new tyres to make [REDACTED].com the first port of call!,value for money positive,,,,,,,,,,,,,,fantastic price new tyre . hassle free start finish . great experience would highly recommend anyone wanting new tyre make [ redacted ] .com first port call !,[],[]
Prices good & the fitting went very smoothly with Castle Car Care!,value for money positive,garage service positive,,,,,,,,,,,,,price good & fitting went smoothly castle car care !,[],[]
The process ran smoothly from booking on line to dropping off and picking up as arranged. |Friendly staff at the local ATS carrying out the replacement added to the experience. second time I have used them and will go back.,ease of booking positive,garage service positive,wait time positive,,,,,,,,,,,,process ran smoothly booking line dropping picking arranged . |friendly staff local at carrying replacement added experience . second time used go back .,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
"Whole process was easy from start to finish, friendly mobile fitter arrived as planned and did a good, quick job.",mobile fitter positive,length of fitting positive,,,,,,,,,,,,,"whole process easy start finish , friendly mobile fitter arrived planned good , quick job .",[],[]
"Good value tyres, delivered and fitted on time, a few fitting marks on my alloys😞",value for money positive,delivery punctuality positive,garage service negative,,,,,,,,,,,,"good value tyre , delivered fitted time , fitting mark alloys😞",[],[]
A great selection of tyres with good prices and fitting options. I was very happy with the mobile fitting service that came to me home.,mobile fitter positive,value for money positive,,,,,,,,,,,,,great selection tyre good price fitting option . happy mobile fitting service came home .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
An easy and quick transaction,,,,,,,,,,,,,,,easy quick transaction,[],[]
Took two goes to physically order the correct set for my Car - but they did resolve after a long hold on the phone. Still an expensive purchase - but these guys were competitive. ATS Fitters was another story - couldn't print an invoice in under 1 hour - so had to leave and chase for it later,ease of booking negative,value for money positive,call wait time negative,,,,,,,,,,,,took two go physically order correct set car - resolve long hold phone . still expensive purchase - guy competitive . at fitter another story - could n't print invoice 1 hour - leave chase later,[],[]
No problems. Great service,,,,,,,,,,,,,,,problem . great service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
Easy to find the tyres I wanted and a local installation. Could not be simpler.,location positive,ease of booking positive,,,,,,,,,,,,,easy find tyre wanted local installation . could simpler .,[],[]
"This is a really convenient and cost effective way to buy new tyres. The website is clear, easy and secure. Simply enter the details of your ehcile, select the tyres and the garage you would like to use, pay, and that's it. Easy and reliable. Have used [REDACTED] several times and never been let down.",value for money positive,ease of booking positive,,,,,,,,,,,,,"really convenient cost effective way buy new tyre . website clear , easy secure . simply enter detail ehcile , select tyre garage would like use , pay , 's . easy reliable . used [ redacted ] several time never let .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
very good would use again,,,,,,,,,,,,,,,good would use,[],[]
Best prices for tyres with various places to choose from at a time which suits the buyer to get the tyres fitted.,value for money positive,ease of booking positive,,,,,,,,,,,,,best price tyre various place choose time suit buyer get tyre fitted .,[],[]
All pretty normal really...Said it would be done in 15 mins (actually took 40 (no complications)).Very polite to the customers (reading from the script) but not too sure about being respectful to each other in front of the customers?However the job was done and I will use them again due to the convenience of the location.,garage service positive,location positive,length of fitting negative,,,,,,,,,,,,pretty normal really ... said would done 15 min ( actually took 40 ( complication ) ) .very polite customer ( reading script ) sure respectful front customer ? however job done use due convenience location .,[],[]
"easy and simple website, quick and clear response via sms and always a simple process when dealing with tyre fitters",garage service positive,response time positive,,,,,,,,,,,,,"easy simple website , quick clear response via sm always simple process dealing tyre fitter",[],[]
"The garage put a new tyre on the wheel but didn't put the wheel on the car so had to do this myself. I've never had to do that before and would expect betterI contacted [REDACTED] who offered a partial refund in compensation and are investigating the issue. I'm glad they were able to help solve this, and won't downgrade them for the fault of the garage",refund positive,garage service negative,advisor/agent service positive,,,,,,,,,,,,"garage put new tyre wheel n't put wheel car . 've never would expect betteri contacted [ redacted ] offered partial refund compensation investigating issue . 'm glad able help solve , wo n't downgrade fault garage","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Simple, easy, savibg time, effort and money. £44 to be exact.",value for money positive,,,,,,,,,,,,,,"simple , easy , savibg time , effort money . £44 exact .",[],[]
"Excellent – no reservations, I would recommend this company to anyone.",,,,,,,,,,,,,,,"excellent – reservation , would recommend company anyone .",[],[]
"Great price, much cheaper than main dealer or Kwikfit, took longer than they said they would, and it was raining with little cover.",length of fitting negative,value for money positive,,,,,,,,,,,,,"great price , much cheaper main dealer kwikfit , took longer said would , raining little cover .",[],[]
Top of the range tyre from top of the range website!,tyre quality positive,,,,,,,,,,,,,,top range tyre top range website !,[],[]
Faultless Service. i have used [REDACTED] for a number of years and cannot fault them for quality or price or service. Highly recommended,value for money positive,,,,,,,,,,,,,,faultless service . used [ redacted ] number year fault quality price service . highly recommended,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Good value tyres, great garage / fitters",value for money positive,garage service positive,,,,,,,,,,,,,"good value tyre , great garage / fitter","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great service and good prices.I have fitted Michelin Pilot Sport 4 to my car, they are a great improvement over the Bridgestones that were originally on the car.",value for money positive,tyre quality positive,,,,,,,,,,,,,"great service good prices.i fitted michelin pilot sport 4 car , great improvement bridgestones originally car .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Easy to order from the website. Tyres fitted at my chosen fitter with no problem. I have used [REDACTED] before and always found their prices competitive and the fitting has always been straightforward,location positive,value for money positive,ease of booking positive,,,,,,,,,,,,easy order website . tyre fitted chosen fitter problem . used [ redacted ] always found price competitive fitting always straightforward,[],[]
Great service .Staff are polite and helpful .great prices,garage service positive,value for money positive,,,,,,,,,,,,,great service .staff polite helpful .great price,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Very easy to do and book your car in,ease of booking positive,,,,,,,,,,,,,,easy book car,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
"This company is totally DogDoo, apparently I can’t use more accurate words to describe the service they provided me and accuracy of my order, because [REDACTED] don’t like it, I wish BC would have taken as much interest in my order and getting it right, as they have done with the trustpilot reviews their many unhappy customers leave.",incorrect tyres sent negative,,,,,,,,,,,,,,"company totally dogdoo , apparently ’ use accurate word describe service provided accuracy order , [ redacted ] ’ like , wish bc would taken much interest order getting right , done trustpilot review many unhappy customer leave .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
The easy way to purchase tyres,,,,,,,,,,,,,,,easy way purchase tyre,[],[]
Disappointed that on collection to be told that tracking is out and to re-book to have it corrected. Go elsewhere to have it fixed and not waste my time again.,change of date negative,,,,,,,,,,,,,,disappointed collection told tracking re-book corrected . go elsewhere fixed waste time .,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'negative')]"
Couldn't fault them - fine on all counts,,,,,,,,,,,,,,,could n't fault - fine count,[],[]
Convenient and cheaper than what the tyre shop could offer.,value for money positive,,,,,,,,,,,,,,convenient cheaper tyre shop could offer .,[],[]
Great service no issues at all,,,,,,,,,,,,,,,great service issue,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Taken on time .prompt friendly service .waiting room with coffee and tea facilities of requirs,wait time positive,facilities positive,,,,,,,,,,,,,taken time .prompt friendly service .waiting room coffee tea facility requirs,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Fuss-free buying and fitting of tyres. Will definitely use again, as prices are favourable, in addition to the convenience of online ordering and booking.",ease of booking positive,value for money positive,,,,,,,,,,,,,"fuss-free buying fitting tyre . definitely use , price favourable , addition convenience online ordering booking .","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Excellent. Used the one at the big Tesco in Handforth. The lad working that Sat. morning couldn't have been more helpful. I would certainly use them again.,garage service positive,,,,,,,,,,,,,,excellent . used one big tesco handforth . lad working sat . morning could n't helpful . would certainly use .,[],[]
Arrived at the fitting centre at the confirmed time slot only to find that tyres hadn’t been delivered.Received refund.,delivery punctuality negative,refund positive,,,,,,,,,,,,,arrived fitting centre confirmed time slot find tyre ’ delivered.received refund .,[],[]
They knew the manufacturer recommended levels for torque and tyre pressure when completing the work at the [REDACTED] Pitstop in Grays. Very professional service.,garage service positive,,,,,,,,,,,,,,knew manufacturer recommended level torque tyre pressure completing work [ redacted ] pitstop gray . professional service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
Easy to select. Easy to book convenient appointment.,ease of booking positive,,,,,,,,,,,,,,easy select . easy book convenient appointment .,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
"Easily booked. No waiting on the day. Good, clean job done. Straightforward process at the best price.",ease of booking positive,wait time positive,value for money positive,,,,,,,,,,,,"easily booked . waiting day . good , clean job done . straightforward process best price .","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Good service getting the tyres fitted but disappointed the first garage I booked in at couldn't fit because too busy so therefore had to take elsewhere.,garage service positive,ease of booking negative,,,,,,,,,,,,,good service getting tyre fitted disappointed first garage booked could n't fit busy therefore take elsewhere .,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
Good prices quick reliable service,value for money positive,,,,,,,,,,,,,,good price quick reliable service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Excellent except the garage said i had been double-booked by [REDACTED] and kept me waiting 40 minutes. I suspect that this was not the case and they were trying to fit in extra jobs.Next time I will double check my appointment with the garage,wait time negative,,,,,,,,,,,,,,excellent except garage said double-booked [ redacted ] kept waiting 40 minute . suspect case trying fit extra jobs.next time double check appointment garage,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
Very easy to buy the correct tyres and get them fitted at a local garage. Very pleased and would use again!,location positive,ease of booking positive,,,,,,,,,,,,,easy buy correct tyre get fitted local garage . pleased would use !,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Quick tyre replacement, both front tyres off changed and replaced with a free break check within the hour and they’re budget tyres are well worth choosing over a named brand.",length of fitting positive,wait time positive,,,,,,,,,,,,,"quick tyre replacement , front tyre changed replaced free break check within hour ’ budget tyre well worth choosing named brand .",[],[]
Remi from Ackland tyres was great. He rang to confirm arrival time and was pleasant and professional.,garage service positive,,,,,,,,,,,,,,remi ackland tyre great . rang confirm arrival time pleasant professional .,[],[]
Good professional service.,,,,,,,,,,,,,,,good professional service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Turned up on the wrong day, but they still managed to fit me in. Very impressed",garage service positive,,,,,,,,,,,,,,"turned wrong day , still managed fit . impressed",[],[]
Very helpful and pleasant staff delivery on time would recommend to anyone prices very good too .,delivery punctuality positive,value for money positive,,,,,,,,,,,,,helpful pleasant staff delivery time would recommend anyone price good .,[],[]
"Managed to catch a flash sale, so got 10% off an already competitive price for a pair of Michelin tyres.Able to pick a convenient time and location for fitting. No hassles at all. Highly recommended.",discounts positive,value for money positive,ease of booking positive,location positive,,,,,,,,,,,"managed catch flash sale , got 10 % already competitive price pair michelin tyres.able pick convenient time location fitting . hassle . highly recommended .",[],[]
Very good service. Easy to use website and confirmation from the agent once the appointment made. Good options to select from a number of local agents. Good service from the agent also. Would recommend. Have used [REDACTED] twice now.,advisor/agent service positive,location positive,,,,,,,,,,,,,good service . easy use website confirmation agent appointment made . good option select number local agent . good service agent also . would recommend . used [ redacted ] twice .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Every time I use them it just works.....,,,,,,,,,,,,,,,every time use work .....,[],[]
Fast friendly service had pm appointment arrived 11.45 2front tyres changed back on road 12.15 excellent service at great price,length of fitting positive,garage service positive,value for money positive,,,,,,,,,,,,fast friendly service pm appointment arrived 11.45 2front tyre changed back road 12.15 excellent service great price,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Very easy to use website, good quality tyres. Fitting was hassle free and tyres fitted within an hour. Will use this method next time I need new car tyres and would recommend this website to anyone.",tyre quality positive,length of fitting positive,,,,,,,,,,,,,"easy use website , good quality tyre . fitting hassle free tyre fitted within hour . use method next time need new car tyre would recommend website anyone .",[],[]
Took too long to change a tyre had a one hour slot arrived 5 minutes before appointment had to wait 90 mins to change the tyre,wait time negative,,,,,,,,,,,,,,took long change tyre one hour slot arrived 5 minute appointment wait 90 min change tyre,[],[]
"Found what I wanted, good price and fitted locally to me.",value for money positive,location positive,,,,,,,,,,,,,"found wanted , good price fitted locally .",[],[]
"Ordered, garage fitted and I drove off. Job done.",wait time positive,,,,,,,,,,,,,,"ordered , garage fitted drove . job done .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
Easy to book. I needed to change the time and it was done well as well. It is good to be able to do locally and price also is much better. Any free extras are not been taken care by the local fitter.,extra charges positive,ease of booking positive,location positive,,,,,,,,,,,,easy book . needed change time done well well . good able locally price also much better . free extra taken care local fitter .,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Hi the service very good and helpful thanks for your help today,,,,,,,,,,,,,,,hi service good helpful thanks help today,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Used [REDACTED] for the first time.Arrived at the appointed fitters and all done in 15-20 minutes. Most impressed and will most certainly use them again, 10 out of 10!",length of fitting positive,,,,,,,,,,,,,,"used [ redacted ] first time.arrived appointed fitter done 15-20 minute . impressed certainly use , 10 10 !",[],[]
Great service alround,,,,,,,,,,,,,,,great service alround,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Easy and straight forward purchase Massive savings of £136 against my local garage for four tyresGreat communication,value for money positive,,,,,,,,,,,,,,easy straight forward purchase massive saving £136 local garage four tyresgreat communication,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Paid for a Tyre with a certain quality as per the EU labeling, what was actually fitted was far poorer. Customer service tried to state that EU labeling differs per manufacturer, upon stating back to them this is not the case I've failed to get any response from [REDACTED]. Will not be using again & would not recommended their own selection of tires.",incorrect tyres sent negative,advisor/agent service negative,,,,,,,,,,,,,"paid tyre certain quality per eu labeling , actually fitted far poorer . customer service tried state eu labeling differs per manufacturer , upon stating back case 've failed get response [ redacted ] . using & would recommended selection tire .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
Very competitive price . Excellent service,value for money positive,,,,,,,,,,,,,,competitive price . excellent service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"After having BMW quote me almost £400 for 2 new rear tyres for my car, I went on [REDACTED] after a friend recommended them. I got my 2 tyres and got them fitted at an independent garage. Saved almost £130 in the process. Very very happy. Next day delivery and came in perfect condition. 5 stars",value for money positive,delivery punctuality positive,tyre quality positive,,,,,,,,,,,,"bmw quote almost £400 2 new rear tyre car , went [ redacted ] friend recommended . got 2 tyre got fitted independent garage . saved almost £130 process . happy . next day delivery came perfect condition . 5 star","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"A good value service, however, my the service quality was not good. The original issue was my own error in that I ordered a wrong tyre size, however, the rectification process was very drawn out with several issue which was a shame as the get it right first time service is good.",value for money positive,,,,,,,,,,,,,,"good value service , however , service quality good . original issue error ordered wrong tyre size , however , rectification process drawn several issue shame get right first time service good .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
"After initial problem the customer service was amazing, they could not do enough to get my tyres fitted at my convenience. Next time any of the family need tyre [REDACTED] will be my first call",advisor/agent service positive,,,,,,,,,,,,,,"initial problem customer service amazing , could enough get tyre fitted convenience . next time family need tyre [ redacted ] first call","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Superb experience, would 100% recommend. as a young woman ordered tyres online, arrange to be delivered to designated garage then just dropped in and had fitted, all within a few clicks, and very reasonable priced.",value for money positive,,,,,,,,,,,,,,"superb experience , would 100 % recommend . young woman ordered tyre online , arrange delivered designated garage dropped fitted , within click , reasonable priced .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"What can I say... I'm a typical girl! The only thing that usually concerns me about my car is the 'pretty' colour!... 😏... so, when it comes to getting new tyres for my Hyundai Tucson, I was clueless! Anyway, I popped onto [REDACTED] website and I can honestly say it was one of the best experiences ever!!! I literally put in my number plate and up popped a bunch of tyres at various prices from budget to high end! The price included delivery to a local garage, VAT and fitting and took me about 5 minutes from start to finish. I paid online and then got two emails, one confirming payment and the other to arrange fitting. I did this online too from the link in the email which showed me several garages in my area... I went to my appointment 3 days later at 9am (my choice, they could have done it even sooner!) and they were waiting for me with my two new tyres! Fantastic service and attention from start to finish. I have recommended [REDACTED] to so many people since... and also the garage that fitted them, HiQ in Stocton Road, Guildford. First class service and you've got me as a customer for life now! Thank you so much.",garage service positive,ease of booking positive,length of fitting positive,location positive,,,,,,,,,,,"say ... 'm typical girl ! thing usually concern car 'pretty ' colour ! ... 😏 ... , come getting new tyre hyundai tucson , clueless ! anyway , popped onto [ redacted ] website honestly say one best experience ever ! ! ! literally put number plate popped bunch tyre various price budget high end ! price included delivery local garage , vat fitting took 5 minute start finish . paid online got two email , one confirming payment arrange fitting . online link email showed several garage area ... went appointment 3 day later 9am ( choice , could done even sooner ! ) waiting two new tyre ! fantastic service attention start finish . recommended [ redacted ] many people since ... also garage fitted , hiq stocton road , guildford . first class service 've got customer life ! thank much .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
The process works in the way it is intended and you know for sure the tyres have been delivered before you get there. Fast and efficient.,delivery punctuality positive,,,,,,,,,,,,,,process work way intended know sure tyre delivered get . fast efficient .,[],[]
Good prices. Tyres arrived on time at fitters who put them on at the time I chose. What's not to like?,delivery punctuality positive,value for money positive,,,,,,,,,,,,,good price . tyre arrived time fitter put time chose . 's like ?,[],[]
Very efficient & quick service at a competative price. Would definitely use them for future tyre replacements.,value for money positive,,,,,,,,,,,,,,efficient & quick service competative price . would definitely use future tyre replacement .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"It was so easy to do,and getting them fitted was no problem at all.It was all sorted out for me.Great service",,,,,,,,,,,,,,,"easy , getting fitted problem all.it sorted me.great service","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great timely service. I found large range of tyres from various price range. Selected the tyres with fitting, and everything was arranged on the day. No hassle, this is my preferred way changing tyres now.",ease of booking positive,,,,,,,,,,,,,,"great timely service . found large range tyre various price range . selected tyre fitting , everything arranged day . hassle , preferred way changing tyre .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Quick and Easy - Great Value - Would recommend to anyone!,value for money positive,,,,,,,,,,,,,,quick easy - great value - would recommend anyone !,[],[]
Very good price and everything happened as planned.,value for money positive,,,,,,,,,,,,,,good price everything happened planned .,[],[]
"I found the tyre I wanted on [REDACTED], cheaper than anywhere else. Easy to order & it was delivered to the garage of my choice. Would definitely recommend.",value for money positive,,,,,,,,,,,,,,"found tyre wanted [ redacted ] , cheaper anywhere else . easy order & delivered garage choice . would definitely recommend .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Great prices. There was a delay with the tyre delivery but the customer service team contacted me straight away and rearranged to another suitable time with no trouble at all.,value for money positive,delivery punctuality negative,advisor/agent service positive,change of date positive,,,,,,,,,,,great price . delay tyre delivery customer service team contacted straight away rearranged another suitable time trouble .,"[('Garage service', 'aspect'), ('Wait time', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Wait time', 'aspect', 'positive')]"
"Good tyres, Good service",tyre quality positive,,,,,,,,,,,,,,"good tyre , good service","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Excellent range, prices and service. First time I have used [REDACTED] and I am now converted. Delivered to my local garage and installed within a one hour time slot all pre-paid online.",value for money positive,location positive,length of fitting positive,,,,,,,,,,,,"excellent range , price service . first time used [ redacted ] converted . delivered local garage installed within one hour time slot pre-paid online .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"cheapest service, quick, will buy in future again",value for money positive,,,,,,,,,,,,,,"cheapest service , quick , buy future","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
Excellent price and fitted in allotted time,length of fitting positive,value for money positive,,,,,,,,,,,,,excellent price fitted allotted time,[],[]
Mobile fitter was very quick and efficient,mobile fitter positive,,,,,,,,,,,,,,mobile fitter quick efficient,[],[]
"good choice,good price, easy to do",value for money positive,,,,,,,,,,,,,,"good choice , good price , easy",[],[]
"Laws tyres in Aberdeen went the extra mile to ensure I left 100% happy with the tyre fitting, wheel balance and steering geometry adjustments that I required.",balancing positive,garage service positive,,,,,,,,,,,,,"law tyre aberdeen went extra mile ensure left 100 % happy tyre fitting , wheel balance steering geometry adjustment required .",[],[]
Great price and very nice people at the fitting garage. I had 2 x rear tyres fitted on my 19” rims and it was all done in 40mins.,length of fitting positive,value for money positive,wait time positive,garage service positive,,,,,,,,,,,great price nice people fitting garage . 2 x rear tyre fitted 19 ” rim done 40mins .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Excellent price,couldnt find cheaper. However ATS left part of the old weights on my wheels so i have since discovered when i cleaned my car",value for money positive,garage service negative,,,,,,,,,,,,,"excellent price , couldnt find cheaper . however at left part old weight wheel since discovered cleaned car",[],[]
"Fast service, good price and great local service",location positive,value for money positive,,,,,,,,,,,,,"fast service , good price great local service","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"First time I had considered buying on line, but with such good prices, clear pricing and local free fitting thought I would give it a try. Glad I did, so impressed have just ordered another two tyres for the front",location positive,value for money positive,,,,,,,,,,,,,"first time considered buying line , good price , clear pricing local free fitting thought would give try . glad , impressed ordered another two tyre front",[],[]
2nd request for this review - excellent price for set of 4 Good Years. Paid for fitting etc so tyres were delivered to selected local tyre stockist where they were already waiting at my appointment time.Good service also at the tyre dealers. All in a very good deal and overall service. Would definitely use again.,value for money positive,tyre quality positive,delivery punctuality positive,garage service positive,,,,,,,,,,,2nd request review - excellent price set 4 good year . paid fitting etc tyre delivered selected local tyre stockist already waiting appointment time.good service also tyre dealer . good deal overall service . would definitely use .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
good prices & excellent service,value for money positive,,,,,,,,,,,,,,good price & excellent service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Great company to deal with,,,,,,,,,,,,,,,great company deal,[],[]
Very straightforward. Good Price. Garage was very courteous and prompt.,value for money positive,garage service positive,,,,,,,,,,,,,straightforward . good price . garage courteous prompt .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Excellent customer service. Went the extra mile to resolve me selecting the wrong size tyre for my car.,advisor/agent service positive,,,,,,,,,,,,,,excellent customer service . went extra mile resolve selecting wrong size tyre car .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Excellent service and very straight forward,,,,,,,,,,,,,,,excellent service straight forward,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Fantastic price, choose a local tyre fitter who were very good. I would definitely recommend",value for money positive,location positive,,,,,,,,,,,,,"fantastic price , choose local tyre fitter good . would definitely recommend",[],[]
"Very straight forward process, the selected date of fitting needed to be changed as the garage had no availability but it was dealt with very promptly and a new time was arranged.",advisor/agent service positive,change of date negative,,,,,,,,,,,,,"straight forward process , selected date fitting needed changed garage availability dealt promptly new time arranged .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
It was an easy and excellent service and I got to choose some very good tyres at a very good price from a massive range of tyres and with reviews.,tyre quality positive,value for money positive,,,,,,,,,,,,,easy excellent service got choose good tyre good price massive range tyre review .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Cheapest I could find. Easy-to-use website with fitting bookable. Quick service. Excellent range of products to choose from.,value for money positive,,,,,,,,,,,,,,cheapest could find . easy-to-use website fitting bookable . quick service . excellent range product choose .,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Good value for money, efficient and easy. Tyres - Sorted.",value for money positive,,,,,,,,,,,,,,"good value money , efficient easy . tyre - sorted .",[],[]
Still not received my tyres due Thursday last week. Never received any of my call back requests and sat for ages on hold to just never get through,call wait time negative,delivery punctuality negative,,,,,,,,,,,,,still received tyre due thursday last week . never received call back request sat age hold never get,[],[]
